step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,1.1760212984738314,230,170,4.264615725407748,15.453464528593754,8,68.56556054901722,X1
1,0.2,1.1667866302578187,460,340,4.2579377298347465,15.753499191679149,8,0.31712770820227415,X1
2,0.3,1.1604256309030312,690,510,4.247061555166751,16.042775546795536,8,0.2648806363249095,X1
3,0.4,1.1561732731253624,920,680,4.235513931805624,16.303260571023678,8,0.21631063310409124,X1
4,0.5,1.1531762845147786,1150,850,4.22883575058113,16.49239231241084,8,0.17942033184023262,X1
5,0.6,1.15078632251447,1380,1020,4.235190566452076,16.612623981443846,8,0.157665614445644,X1
6,0.7,1.1486458160381694,1610,1190,4.238522067444718,16.675597882210383,8,0.14749812440946108,X1
7,0.8,1.146274130227047,1840,1360,4.2371631253754,16.65108527835925,8,0.15309594854042205,X1
8,0.9,1.1438909539617859,2070,1530,4.235216422230305,16.61757298233747,8,0.15459543020896307,X1
9,1.0,1.1415346529578208,2300,1700,4.2331787377769645,16.586610482437745,8,0.15371825223465543,X1
10,1.1,0.6886413304655257,3180,2520,3.078331550940542,14.510173245218542,16,1.0919715378448154,X1;Y0Y3
11,1.2,1.0992836096320957,3570,2850,3.95701111481539,22.3225487193778,16,1.6064782479546882,X1;Y0Y3
12,1.3,3.767199617589589,3960,3180,5.942513732142586,32.154514078400794,16,20.202197321727148,X1;Y0Y3
13,1.4,2.973632317132933,4350,3510,5.450835716776289,31.446116949180038,16,2.7375032964388346,X1;Y0Y3
14,1.5,2.281994486500092,4740,3840,4.975084967941958,29.62210770503981,16,3.039390428190862,X1;Y0Y3
15,1.6,1.8022728577362082,5130,4170,4.372339554910111,26.95130198016637,16,2.8646479268158846,X1;Y0Y3
16,1.7,1.4494434605548863,5520,4500,3.9496227350338153,23.669724481373297,16,1.926776186839762,X1;Y0Y3
17,1.8,1.1826940308665808,5910,4830,3.74220302942904,21.112107281579892,16,1.8079994652934839,X1;Y0Y3
18,1.9,0.989154677752591,6300,5160,3.577966412640344,19.43927916504584,16,1.77323456928184,X1;Y0Y3
19,2.0,0.8622341628334688,6690,5490,3.4976860331954387,18.27540243911623,16,1.394895040787576,X1;Y0Y3
20,2.1,0.4761093932295302,7730,6470,2.73000126115334,17.031828571223297,24,7.127569425001202,X1;Y0Y3;X0X3
21,2.2,3.9755251085919685,8280,6960,6.219800009904499,25.286335001910487,24,2.4992993093144604,X1;Y0Y3;X0X3
22,2.3,0.7682405243904831,8830,7450,3.476639060954025,10.952696822065091,24,40.70047286841657,X1;Y0Y3;X0X3
23,2.4,0.6278712955353198,9380,7940,3.3769819333890516,10.737787185733838,24,1.5603568223938395,X1;Y0Y3;X0X3
24,2.5,0.6262820021899972,9930,8430,3.3404918112431243,10.648448142915363,24,0.1854519470324816,X1;Y0Y3;X0X3
25,2.6,0.6258857858249228,10480,8920,3.3627305297725627,10.790259759936417,24,0.19989541524531218,X1;Y0Y3;X0X3
26,2.7,0.6273245120768239,11030,9410,3.304948287616758,10.53882652022306,24,0.2844054202673025,X1;Y0Y3;X0X3
27,2.8,0.6302624060853125,11580,9900,3.3768092787031847,10.884923370190775,24,0.4032423569007998,X1;Y0Y3;X0X3
28,2.9,0.6428059037949966,12130,10390,3.265961587342212,10.366403327743155,24,0.665944114644909,X1;Y0Y3;X0X3
29,3.0,0.6456686972888226,12680,10880,3.4135507644738983,11.055956048297487,24,0.8437304097388355,X1;Y0Y3;X0X3
30,3.1,0.5296444371066162,13880,12020,2.7503076483995974,11.265138740897209,32,4.46791921046265,X1;Y0Y3;X0X3;X2Z3
31,3.2,0.46009749281524115,14590,12670,2.691907783633553,11.833087355763698,32,1.0426817859457416,X1;Y0Y3;X0X3;X2Z3
32,3.3,0.4458612814634266,15300,13320,2.709756287469793,11.082722426451529,32,0.7112204877556864,X1;Y0Y3;X0X3;X2Z3
33,3.4,0.43491028048290237,16010,13970,2.6679649668180336,11.768746201586227,32,0.538231747379376,X1;Y0Y3;X0X3;X2Z3
34,3.5,0.43004606291852093,16720,14620,2.6294886720838053,11.05709250558778,32,0.5202044834843634,X1;Y0Y3;X0X3;X2Z3
35,3.6,0.41992523633261514,17430,15270,2.6153976401876338,11.704355445360626,32,0.520071894039101,X1;Y0Y3;X0X3;X2Z3
36,3.7,0.414333523883813,18140,15920,2.5672524554946894,11.037919290116454,32,0.5046724897596229,X1;Y0Y3;X0X3;X2Z3
37,3.8,0.4044444105099356,18850,16570,2.555449769276547,11.607703239949677,32,0.4889644049530115,X1;Y0Y3;X0X3;X2Z3
38,3.9,0.3980286782316156,19560,17220,2.5099649954075103,11.045936979288115,32,0.4462156395254385,X1;Y0Y3;X0X3;X2Z3
39,4.0,0.3894281928529688,20270,17870,2.4967766409866377,11.486054599488288,32,0.41813790350551283,X1;Y0Y3;X0X3;X2Z3
