step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,1.8778336993224103,1680,1620,4.352725591797589,25.81130947953738,8,182.39502618322,X1
1,0.2,2.0232108885700613,3360,3240,4.470587276717431,25.046002920069242,8,12.887015432276078,X1
2,0.3,2.1212603423328367,5040,4860,4.637614728629838,26.804441381253138,8,8.852546918897403,X1
3,0.4,2.229294986620777,6720,6480,4.592564449489579,24.13193471734513,8,33.51551182740451,X1
4,0.5,2.2773482795048543,8400,8100,4.609732678708247,23.675360695553245,8,15.651210341279318,X1
5,0.6,2.4299645272699437,10080,9720,4.817712414840319,23.189368413227964,8,15.135639531251952,X1
6,0.7,2.3049838847416284,11760,11340,4.642603813372541,23.477717344795426,8,12.39543742781471,X1
7,0.8,2.7716631642057217,13440,12960,5.150364456498774,22.750253374954596,8,12.17521272745124,X1
8,0.9,2.5595346321482495,15120,14580,4.971415355617384,22.853500055806553,8,19.098610934144038,X1
9,1.0,3.276368502114826,16800,16200,5.42939000607983,23.197258867723324,8,16.933429381176325,X1
10,1.1,3.0626418571246248,23130,22470,5.350939436753096,26.008747250415425,16,32.06722121139836,X1;X0Z3
11,1.2,8.882160271738236,28970,28250,8.525532038466295,38.91586055335304,16,37.9123179383388,X1;X0Z3
12,1.3,8.940965838022091,34810,34030,8.388210086309229,38.52908632361478,16,15.416257613359404,X1;X0Z3
13,1.4,8.872303951278118,40650,39810,8.319654051476792,38.12367535859477,16,11.522060645185878,X1;X0Z3
14,1.5,2.2757243028852003,46490,45590,4.319706036461827,19.50768242941814,16,18.048643181152976,X1;X0Z3
15,1.6,5.3517506965126955,52330,51370,6.597320950564318,31.13574097183944,16,36.0220892260731,X1;X0Z3
16,1.7,3.888707693691111,58170,57150,5.7594355318501265,23.839563459488406,16,21.952349317963765,X1;X0Z3
17,1.8,3.7814763806416076,64010,62930,5.753380859223247,23.803051227758534,16,16.906163340873956,X1;X0Z3
18,1.9,3.4010363218114246,69850,68710,5.465349291404776,21.9784716953047,16,23.66149308168837,X1;X0Z3
19,2.0,7.982718169150983,75690,74490,7.928874307687,33.79344638568531,16,21.941744149680247,X1;X0Z3
20,2.1,3.209590365810474,88740,87480,5.059640833055259,23.865453383936728,24,139.27631876362113,X1;X0Z3;X0X2
21,2.2,3.3403309599990183,101300,99980,4.837381030847161,25.289414870956072,24,28.70551292581243,X1;X0Z3;X0X2
22,2.3,4.789682672427666,113860,112480,5.511122293684829,27.98874706531669,24,27.23581990674491,X1;X0Z3;X0X2
23,2.4,3.859617475717736,126420,124980,5.319724671554635,23.92868681997419,24,12.371623975781075,X1;X0Z3;X0X2
24,2.5,6.711704273509129,138980,137480,6.850310073552336,26.964613455304704,24,19.76034845898739,X1;X0Z3;X0X2
25,2.6,2.9356422666389506,151540,149980,4.863734874997352,19.661942628740523,24,24.759654554664856,X1;X0Z3;X0X2
26,2.7,1.581799022031147,164100,162480,3.9210502321891094,24.139848163685556,24,29.14082570699199,X1;X0Z3;X0X2
27,2.8,4.402324468755064,176660,174980,5.524236894116546,26.122205227604,24,17.378207959737676,X1;X0Z3;X0X2
28,2.9,3.690536689388954,189220,187480,6.221909454732292,23.23443405248437,24,42.664105634069486,X1;X0Z3;X0X2
29,3.0,4.830701591030441,201780,199980,6.4898514160187135,24.72719598727723,24,26.274223780501558,X1;X0Z3;X0X2
30,3.1,4.3024314342316075,224110,222250,5.664460278751429,24.966329185874198,32,54.04236372505233,X1;X0Z3;X0X2;X0Z2
31,3.2,3.532839150152986,245950,244030,4.178061706553987,22.497593894582376,32,25.888142729454557,X1;X0Z3;X0X2;X0Z2
32,3.3,4.164469179293713,267790,265810,4.697283588274228,23.382797322271262,32,24.895027059601144,X1;X0Z3;X0X2;X0Z2
33,3.4,1.7713059304873444,289630,287590,4.328981389133366,17.10508330818476,32,20.355160756271374,X1;X0Z3;X0X2;X0Z2
34,3.5,0.49038915383579984,311470,309370,2.511333852922773,15.345828912393674,32,32.765374158415824,X1;X0Z3;X0X2;X0Z2
35,3.6,1.1132540105179423,333310,331150,3.5253459314264384,16.222247286795678,32,8.325718210206889,X1;X0Z3;X0X2;X0Z2
36,3.7,1.1183181972887837,355150,352930,3.2807930627707345,16.45485195529326,32,21.302998019684267,X1;X0Z3;X0X2;X0Z2
37,3.8,3.021414715732275,376990,374710,5.079456689344611,23.341855797093412,32,32.819539951844455,X1;X0Z3;X0X2;X0Z2
38,3.9,1.9646382246519114,398830,396490,4.173643946970865,23.213585427335346,32,17.923369573233078,X1;X0Z3;X0X2;X0Z2
39,4.0,2.447171876584074,420670,418270,4.732304372248375,25.321704910654862,32,15.347585757571679,X1;X0Z3;X0X2;X0Z2
