step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,4.371354754899873,630,570,5.321243914568726,31.037769876372494,8,98.65216515458087,X1
1,0.2,4.353562548473583,1260,1140,5.2687666123157815,30.99000897014006,8,3.4015564161384324,X1
2,0.3,4.317508161515136,1890,1710,5.183884025623019,30.824229977062327,8,4.0171729697960545,X1
3,0.4,4.27009768568205,2520,2280,5.039312701853112,30.537789366018597,8,3.758135213523474,X1
4,0.5,4.232142753774026,3150,2850,4.9375567582437485,30.37007703908575,8,2.4068142665767587,X1
5,0.6,4.172868962369386,3780,3420,4.792288000914935,30.082651812131836,8,4.223634179628666,X1
6,0.7,4.169339032512327,4410,3990,4.7915216730062955,30.040022008386426,8,3.0434688258212073,X1
7,0.8,4.166974136006622,5040,4560,4.797999113160041,30.006310411646226,8,4.638634550986934,X1
8,0.9,4.167433123645639,5670,5130,4.801874380530927,30.053298012658015,8,2.6688440593416427,X1
9,1.0,4.192492702681949,6300,5700,4.799999270580454,30.23015198519424,8,2.2848136544462556,X1
10,1.1,1.184179559423073,7580,6920,3.1441239008535438,25.525607493275288,16,75.5366196424894,X1;X1Z2
11,1.2,1.1645385791042637,8370,7650,3.14764452526271,26.028811964122937,16,6.212289534001553,X1;X1Z2
12,1.3,1.1286663972358204,9160,8380,3.1003457289442133,25.49284152903021,16,5.112078893416973,X1;X1Z2
13,1.4,1.3296294723906092,9950,9110,3.560596014077975,25.66847156304252,16,4.585441969019515,X1;X1Z2
14,1.5,1.318327642886345,10740,9840,3.4965283132404896,25.86340464968713,16,4.191752156970773,X1;X1Z2
15,1.6,1.3169276044024643,11530,10570,3.55058270861511,25.37939020578593,16,4.997967253221071,X1;X1Z2
16,1.7,1.409082952330496,12320,11300,3.7542747833442576,25.995109008412264,16,8.002178978801043,X1;X1Z2
17,1.8,1.4328119102846366,13110,12030,3.7076725518020024,24.761554883482606,16,8.205511300681565,X1;X1Z2
18,1.9,1.657788969629287,13900,12760,4.1413787303214775,27.30455315597643,16,10.100828670096655,X1;X1Z2
19,2.0,1.4313339633363864,14690,13490,3.939493352556435,26.75713023557981,16,9.892623910827577,X1;X1Z2
20,2.1,0.9021261280042381,16130,14870,3.131977135280115,19.11395108971204,24,6.516207738259704,X1;X1Z2;X0X3
21,2.2,1.2190013861484292,17080,15760,3.674475383343059,19.820009930748803,24,2.8695352892052273,X1;X1Z2;X0X3
22,2.3,0.8747453088391844,18030,16650,2.4571111333170568,24.171248134919953,24,6.120810053793704,X1;X1Z2;X0X3
23,2.4,0.8617135929976202,18980,17540,3.27733671438553,20.365629475613027,24,5.938336828180058,X1;X1Z2;X0X3
24,2.5,0.7792586405242168,19930,18430,3.1155790122840696,19.446983722943717,24,3.7112309698818273,X1;X1Z2;X0X3
25,2.6,1.2230688525661595,20880,19320,3.582408400176224,22.0280668296156,24,3.8621298746830948,X1;X1Z2;X0X3
26,2.7,0.7921333143464878,21830,20210,2.9167113084616485,20.27130746106061,24,5.283171932047121,X1;X1Z2;X0X3
27,2.8,0.7647867588053506,22780,21100,2.7645697255373864,21.728825361916996,24,3.418846656394772,X1;X1Z2;X0X3
28,2.9,0.7523484161725209,23730,21990,3.005067992891011,19.500201296805475,24,3.8960313979002703,X1;X1Z2;X0X3
29,3.0,0.8195173933362262,24680,22880,3.1667341087552447,20.223928766742976,24,2.943313051577809,X1;X1Z2;X0X3
30,3.1,1.8236499365814394,26280,24420,3.8791463328641203,21.923822840774875,32,11.403963283072693,X1;X1Z2;X0X3;X0Z2
31,3.2,1.1087408542345258,27390,25470,3.440155732248466,20.54910545156282,32,18.655801539381724,X1;X1Z2;X0X3;X0Z2
32,3.3,1.0592547022070622,28500,26520,3.418693945997756,19.781681196508682,32,6.873692448973961,X1;X1Z2;X0X3;X0Z2
33,3.4,1.0610417506642655,29610,27570,3.409023929338109,19.69415333318043,32,6.966354466295217,X1;X1Z2;X0X3;X0Z2
34,3.5,1.4863440707274378,30720,28620,3.805406878152217,18.700631327039808,32,6.8911631735733785,X1;X1Z2;X0X3;X0Z2
35,3.6,1.4096609713592132,31830,29670,3.706667198867886,18.971748893831496,32,5.300734810339364,X1;X1Z2;X0X3;X0Z2
36,3.7,1.1854641168393145,32940,30720,3.5716552247281332,19.13996695819744,32,4.788624250052728,X1;X1Z2;X0X3;X0Z2
37,3.8,1.1834617623081019,34050,31770,3.546151838624222,19.246233742747815,32,4.9008489620829225,X1;X1Z2;X0X3;X0Z2
38,3.9,1.347621791641326,35160,32820,3.6300116849615893,19.442862601371242,32,6.348928777373583,X1;X1Z2;X0X3;X0Z2
39,4.0,0.82114003501369,36270,33870,3.0372244429608783,19.474178782479065,32,6.660230941436719,X1;X1Z2;X0X3;X0Z2
