step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,0.32327427169579087,720,660,1.8930512033373323,13.181559657447114,8,nan,X1
1,0.2,0.33222543965575946,1400,1280,1.9116882448438943,13.193886463153085,8,nan,X1
2,0.3,0.32916757172242944,2110,1930,1.895569766097895,13.20053217350808,8,nan,X1
3,0.4,0.32919163381452826,2860,2620,1.895642210198947,13.199970683339918,8,nan,X1
4,0.5,0.32097098018067655,3570,3270,1.867317311335406,13.227365855189916,8,nan,X1
5,0.6,0.322238932328041,4260,3900,1.8932112611169363,13.280768464741609,8,nan,X1
6,0.7,0.4085522718424311,4990,4570,2.065101686298823,14.515321946519673,8,nan,X1
7,0.8,0.4788384203965974,5660,5180,2.371659531658421,12.599485212185334,8,nan,X1
8,0.9,0.43907138453570416,6350,5810,2.3030491308299776,13.020841141370392,8,nan,X1
9,1.0,0.4382239574821693,7060,6460,2.302372174602753,13.00506839278123,8,nan,X1
10,1.1,0.6332467116886838,7770,7110,2.778823761365317,14.167193483289184,8,nan,X1
11,1.2,0.6096170657809562,8450,7730,2.8200915498983536,13.814529096901586,8,nan,X1
12,1.3,0.9208629827189686,9170,8390,3.4100146405779403,17.213810096619703,8,nan,X1
13,1.4,0.7251279473125349,9840,9000,2.885149341406056,15.96651952518726,8,nan,X1
14,1.5,0.4405697589880391,10570,9670,2.3097233389306857,13.776691949164704,8,nan,X1
15,1.6,0.4405697589880391,11300,10340,2.3097233389306857,13.776691949164704,8,nan,X1
16,1.7,0.4261917535080201,12040,11020,2.2308878526792824,13.692187162767596,8,nan,X1
17,1.8,0.46567426794156885,12740,11660,2.303233289553902,13.702713220910848,8,nan,X1
18,1.9,0.46337820144339326,13390,12250,2.3364534645308503,13.673639419837855,8,nan,X1
19,2.0,0.4624772672601926,14120,12920,2.338453130937569,13.679946448676757,8,nan,X1
20,2.1,0.27346557299531526,15880,14620,1.865132084139595,12.069167828397873,16,nan,X1;X0
21,2.2,0.3376008533456837,17210,15890,2.064393549729929,14.305261153026631,16,nan,X1;X0
22,2.3,0.3600918731655223,18520,17140,2.237719835212819,12.319283229174337,16,nan,X1;X0
23,2.4,0.15554624474321244,19910,18470,1.3700067085870282,12.867136368343344,16,nan,X1;X0
24,2.5,0.14170230121411437,21160,19660,1.26709357137815,11.699998600706657,16,nan,X1;X0
25,2.6,0.13505454737949704,22420,20860,1.2782057608797543,11.548793342710862,16,nan,X1;X0
26,2.7,0.13929348453826124,23690,22070,1.3430101361758484,12.230601620031507,16,nan,X1;X0
27,2.8,0.1372237483540363,24960,23280,1.2551683047742435,12.025107790010306,16,nan,X1;X0
28,2.9,0.13310322540892985,26210,24470,1.2526379062946815,11.955692248242924,16,nan,X1;X0
29,3.0,0.13573627226590168,27420,25620,1.1940328665265496,11.754553035706342,16,nan,X1;X0
30,3.1,0.12250823848916925,28760,26900,1.1508677735104111,12.114240097788047,16,nan,X1;X0
31,3.2,0.12103663071490212,29970,28050,1.1633474161808828,12.09187476416648,16,nan,X1;X0
32,3.3,0.10884438535957107,31220,29240,1.0494775403195824,10.132550870540507,16,nan,X1;X0
33,3.4,0.11589500786281698,32490,30450,1.0685281997931224,10.447830348800018,16,nan,X1;X0
34,3.5,0.12348824947218065,33670,31570,1.1157112035622034,11.045656315118102,16,nan,X1;X0
35,3.6,0.12489683151637407,34950,32790,1.10157157762257,10.941688243948786,16,nan,X1;X0
36,3.7,0.12085965121764397,36200,33980,1.0838992923981787,10.099777348517273,16,nan,X1;X0
37,3.8,0.1167863498009249,37520,35240,1.1165758765756424,9.8791195626527,16,nan,X1;X0
38,3.9,0.1128068841096127,38830,36490,1.081113508409687,9.968109399678866,16,nan,X1;X0
39,4.0,0.11444226465969223,40140,37740,1.0928325239222425,9.991499666978383,16,nan,X1;X0
40,4.1,0.11444226465969207,42470,40010,1.092832523922242,9.991499666978381,24,nan,X1;X0;X2
41,4.2,0.1144422646596923,44270,41750,1.0928325239222432,9.991499666978383,24,nan,X1;X0;X2
42,4.3,0.13426732639515176,46180,43600,1.0756597580665725,10.54130872168192,24,nan,X1;X0;X2
43,4.4,0.16588429598363874,48000,45360,1.1855350739963002,9.547471597343732,24,nan,X1;X0;X2
44,4.5,0.13952436404430074,49970,47270,1.095644746216835,8.624420636032417,24,nan,X1;X0;X2
45,4.6,0.13935258889185106,51780,49020,1.098697868861759,8.615344751701347,24,nan,X1;X0;X2
46,4.7,0.19843588388377517,53560,50740,1.5688870835015853,8.526946582890218,24,nan,X1;X0;X2
47,4.8,0.1935030098161734,55570,52690,1.5300311960507815,8.33210773738113,24,nan,X1;X0;X2
48,4.9,0.30533670103010324,57420,54480,1.8918820892749264,8.858263276977567,24,nan,X1;X0;X2
49,5.0,0.2043662745427508,59120,56120,1.665591945674222,8.590661665099697,24,nan,X1;X0;X2
50,5.1,0.20599740850603984,60870,57810,1.6777332346068126,8.489453950577497,24,nan,X1;X0;X2
51,5.2,0.20598909985005676,62650,59530,1.6777114536213538,8.49174275941614,24,nan,X1;X0;X2
52,5.3,0.17394035255958248,64340,61160,1.4145350885741264,9.019043829354196,24,nan,X1;X0;X2
53,5.4,0.20289218300103035,66230,62990,1.4834272210890946,14.721934927906283,24,nan,X1;X0;X2
54,5.5,0.23699312193225708,68100,64800,1.6673481564269959,12.761702119851375,24,nan,X1;X0;X2
55,5.6,0.23324403851604364,69990,66630,1.6229979444971145,14.399627456299068,24,nan,X1;X0;X2
56,5.7,0.19082900064530156,71830,68410,1.3201232641798823,9.40349996755705,24,nan,X1;X0;X2
57,5.8,0.2166584418482353,73730,70250,1.5369014880160672,9.54310063540008,24,nan,X1;X0;X2
58,5.9,0.20010250940499705,75610,72070,1.445417567019858,9.557368183285703,24,nan,X1;X0;X2
59,6.0,0.16668311524425045,77560,73960,1.2514284435244571,10.168854657457288,24,nan,X1;X0;X2
