step,tau,cost,forward_calls,opt_calls,train_absdist,test_absdist,n_params,grad_norm,ansatz
0,0.1,1.4348331067914848,280,220,3.2458265809875275,18.44154006152579,8,38.349611039745206,X1
1,0.2,1.4837159508431248,560,440,3.1075191069874286,18.130594683243856,8,2.7385072960632995,X1
2,0.3,1.4767077886673434,840,660,3.0697829197905535,18.05483870628077,8,1.9125947459455,X1
3,0.4,1.4841510267754998,1120,880,3.073381702412623,18.028638156770143,8,2.4018724993923852,X1
4,0.5,1.5282503320002796,1400,1100,3.035501733697137,18.051444660880094,8,2.907772905409067,X1
5,0.6,1.5485095898875214,1680,1320,3.0775226413517673,18.16702844387779,8,3.4345340656847387,X1
6,0.7,1.6299445179553365,1960,1540,3.1016246823427536,18.46647824823343,8,3.958762631232062,X1
7,0.8,1.6656107291816475,2240,1760,3.2153080117281285,18.520454001851572,8,2.283707831420725,X1
8,0.9,1.614051657824318,2520,1980,3.055671376751515,18.370184734234684,8,2.9397676225463507,X1
9,1.0,1.6401943600731284,2800,2200,3.1389514154653266,18.469870437420767,8,2.6574416204588047,X1
10,1.1,1.897285142942143,3730,3070,3.6361236637143515,18.995117003213444,16,18.510791001581943,X1;Y0Z3
11,1.2,2.1213515285466027,4170,3450,3.850004439436205,18.400058985991247,16,9.808763030410693,X1;Y0Z3
12,1.3,2.153765897749391,4610,3830,4.07858371128502,17.088597310033254,16,7.84349003245285,X1;Y0Z3
13,1.4,2.2105848082550037,5050,4210,4.085725149076795,17.216453517774436,16,7.528782216587728,X1;Y0Z3
14,1.5,1.6615674081808351,5490,4590,3.037400442882397,17.961353999162096,16,13.088353610828218,X1;Y0Z3
15,1.6,1.8304496638620404,5930,4970,3.268817782439326,18.576707857989085,16,7.382123790023259,X1;Y0Z3
16,1.7,1.8603543150956423,6370,5350,3.3671894847386734,18.754012997745797,16,5.22605489139837,X1;Y0Z3
17,1.8,1.94612731221004,6810,5730,3.6174935535270842,18.736525684509523,16,7.359788748993155,X1;Y0Z3
18,1.9,1.9599024821622781,7250,6110,3.6617015890686138,18.88432977607683,16,7.011431902778478,X1;Y0Z3
19,2.0,1.9535636711999103,7690,6490,3.6485407793935734,18.939550468219565,16,10.769756404425188,X1;Y0Z3
20,2.1,1.6383265738257573,8780,7520,3.4669856302008735,20.0326485031571,24,25.517481424200763,X1;Y0Z3;Y0
21,2.2,2.42345460438249,9380,8060,4.241906483756532,13.67063010834604,24,27.918257380900616,X1;Y0Z3;Y0
22,2.3,2.02536432545958,9980,8600,3.857726614616039,16.14618421226584,24,16.503430705095443,X1;Y0Z3;Y0
23,2.4,1.7999306297694877,10580,9140,3.22600200179877,14.67156888310099,24,21.20111803121061,X1;Y0Z3;Y0
24,2.5,1.1613849171398796,11180,9680,2.8732262184646733,13.297424292418865,24,21.447596040895455,X1;Y0Z3;Y0
25,2.6,0.6053408174386529,11780,10220,2.1942762849485273,12.947577401511705,24,17.031237882407215,X1;Y0Z3;Y0
26,2.7,1.53946592645855,12380,10760,2.9733883456562844,14.795545902954155,24,10.038887940807916,X1;Y0Z3;Y0
27,2.8,1.4145119697896096,12980,11300,2.8352954213392545,17.403151971600934,24,14.870251146005245,X1;Y0Z3;Y0
28,2.9,2.683513053711108,13580,11840,3.8772600374865793,14.454125496556827,24,11.442924386260218,X1;Y0Z3;Y0
29,3.0,3.2892264458857676,14180,12380,4.448917924647744,16.824861204775036,24,8.33826950261727,X1;Y0Z3;Y0
